<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
035_T106_C5_D240_VM3.txt	 1	 0.522406131594944	 373.288674	 0.003209	 601.820292
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
759           1            0.000000605        0.117046046                0.000101556             VM
734           2            0.000002663        0.128844988                0.000116428             VM
875           2            0.000002924        0.141501782                0.000127865             VM
738           2            0.000002808        0.135885001                0.000122789             VM
818           2            0.000002199        0.106416876                0.000096161             VM
1298           2            0.000002809        0.135934906                0.000122834             VM
803           2            0.000002295        0.111024976                0.000100325             VM
1292           2            0.000002834        0.137107803                0.000123894             VM
1348           2            0.000002390        0.115635239                0.000104491             VM
758           2            0.000002380        0.115140105                0.000104044             VM
1314           2            0.000002341        0.113254224                0.000102339             VM
868           2            0.000002851        0.137967383                0.000124671             VM
1317           2            0.000002695        0.130382109                0.000117817             VM
1398           2            0.000003699        0.178975946                0.000161727             VM
1304           2            0.000002750        0.133038481                0.000120217             VM
1358           2            0.000002586        0.125109625                0.000113052             VM
1294           2            0.000002509        0.121421100                0.000109719             VM
1337           2            0.000002515        0.121673783                0.000109948             VM
1375           2            0.000002912        0.140913633                0.000127333             VM
825           2            0.000002573        0.124506360                0.000112507             VM
1382           2            0.000002912        0.140903711                0.000127324             VM
1631           1            0.000001074        0.207902885                0.000180389             VM
1377           2            0.000002855        0.138130924                0.000124819             VM
1617           1            0.000001065        0.206113173                0.000178836             VM
808           2            0.000002964        0.143410892                0.000129590             VM
24           1            0.000001287        0.249153798                0.000216181             VM
1549           1            0.000001321        0.255619153                0.000221791             VM
1307           2            0.000002925        0.141542434                0.000127901             VM
1433           1            0.000001411        0.273094965                0.000236954             VM
1630           1            0.000001054        0.203973970                0.000176980             VM
739           2            0.000002624        0.126976776                0.000114740             VM
1599           1            0.000001103        0.213427134                0.000185182             VM
1623           1            0.000001106        0.214006333                0.000185685             VM
1505           1            0.000001306        0.252667549                0.000219230             VM
1368           2            0.000002433        0.117724415                0.000106379             VM
1606           1            0.000001059        0.205044139                0.000177909             VM
1381           1            0.000000595        0.115144144                0.000099906             VM
1625           1            0.000000816        0.158001493                0.000137092             VM
1354           2            0.000002788        0.134912292                0.000121910             VM
1424          4           0.000003162          0.177740000                0.000159425             FX
1555           1            0.000001405        0.271976317                0.000235983             VM
1576           1            0.000001080        0.209002203                0.000181343             VM
1430          4           0.000004305          0.246270000                0.000220714             FX
858           2            0.000002574        0.124554403                0.000112551             VM
1540           1            0.000001412        0.273339437                0.000237166             VM
1515           1            0.000001314        0.254247753                0.000220601             VM
34           2            0.000002540        0.122917486                0.000111071             VM
1569           1            0.000001385        0.268039680                0.000232568             VM
1602           1            0.000001073        0.207727981                0.000180237             VM
1339           2            0.000002639        0.127685205                0.000115380             VM
1495           1            0.000001357        0.262665999                0.000227905             VM
1578           1            0.000001100        0.212867121                0.000184696             VM
1582           1            0.000001030        0.199285555                0.000172912             VM
1401           2            0.000002830        0.136953390                0.000123755             VM
1493           1            0.000001266        0.244919805                0.000212507             VM
1404          4           0.000004827          0.277600000                0.000248734             FX
