<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
1374          5           0.000007487          0.218610000                0.025918326             FX
11757           1            0.000006092        1.179059074                0.127262739             VM
11756           1            0.000006701        1.296905488                0.139982591             VM
11758          4           0.000003168          0.178100000                0.020044636             FX
========================================================================
002_T7_C5_D16_VM3.txt	 8	 0.377453152829149	 0.109958	 0.000032	 3.447633
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
39           2            0.000002608        0.126211864                0.014337443             VM
1575           1            0.000000976        0.188852363                0.020383940             VM
29           2            0.000005371        0.259893852                0.029523479             VM
1374          5           0.000007487          0.218610000                0.025918326             FX
11757           1            0.000006092        1.179059074                0.127262739             VM
11756           1            0.000006701        1.296905488                0.139982591             VM
11758          4           0.000003168          0.178100000                0.020044636             FX
========================================================================
002_T7_C5_D16_VM3.txt	 9	 0.377453152829149	 0.110705	 0.000032	 3.447633
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
39           2            0.000002608        0.126211864                0.014337443             VM
1575           1            0.000000976        0.188852363                0.020383940             VM
29           2            0.000005371        0.259893852                0.029523479             VM
1374          5           0.000007487          0.218610000                0.025918326             FX
11757           1            0.000006092        1.179059074                0.127262739             VM
11756           1            0.000006701        1.296905488                0.139982591             VM
11758          4           0.000003168          0.178100000                0.020044636             FX
========================================================================
002_T7_C5_D16_VM3.txt	 10	 0.377453152829149	 0.110207	 0.000032	 3.447633
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
39           2            0.000002608        0.126211864                0.014337443             VM
1575           1            0.000000976        0.188852363                0.020383940             VM
29           2            0.000005371        0.259893852                0.029523479             VM
1374          5           0.000007487          0.218610000                0.025918326             FX
11757           1            0.000006092        1.179059074                0.127262739             VM
11756           1            0.000006701        1.296905488                0.139982591             VM
11758          4           0.000003168          0.178100000                0.020044636             FX
========================================================================
