<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
2519           1            0.000094290        18.248594766                0.016913866             VM
2503           1            0.000093832        18.159898889                0.016831657             VM
2509           1            0.000095319        18.447611834                0.017098326             VM
2528          4           0.000022680          1.348810000                0.001297286             FX
========================================================================
025_T76_C5_D220_VM3.txt	 2	 0.437258863390120	 233.178019	 0.002571	 471.323784
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
27           2            0.000002721        0.131676029                0.000128168             VM
25           2            0.000002772        0.134132473                0.000130559             VM
735           2            0.000003114        0.150684820                0.000146670             VM
34           2            0.000002990        0.144698406                0.000140843             VM
30           2            0.000002710        0.131109051                0.000127616             VM
26           2            0.000002927        0.141609829                0.000137837             VM
731           2            0.000003174        0.153594167                0.000149502             VM
734           2            0.000002996        0.144973892                0.000141111             VM
28           2            0.000002947        0.142576126                0.000138777             VM
35           2            0.000003401        0.164550866                0.000160167             VM
33           2            0.000002584        0.125014442                0.000121684             VM
755          3           0.000002969          0.332280000                0.000311733             FX
1           1            0.000001277        0.247150723                0.000229074             VM
9           2            0.000003145        0.152198777                0.000148144             VM
29           2            0.000002821        0.136518037                0.000132881             VM
852           1            0.000001652        0.319766681                0.000296378             VM
39           2            0.000002994        0.144888765                0.000141028             VM
856           1            0.000001707        0.330309764                0.000306150             VM
2           2            0.000002914        0.140978434                0.000137222             VM
23           2            0.000003336        0.161393558                0.000157093             VM
805          5           0.000007714          0.225430000                0.000228589             FX
736          5           0.000008117          0.237520000                0.000240817             FX
737          3           0.000002340          0.256800000                0.000241056             FX
40           2            0.000002681        0.129711973                0.000126256             VM
733           2            0.000002764        0.133759008                0.000130195             VM
754           1            0.000001852        0.358489858                0.000332269             VM
38           2            0.000003088        0.149416602                0.000145436             VM
36           2            0.000002995        0.144923153                0.000141062             VM
855           1            0.000001685        0.326187472                0.000302330             VM
732           2            0.000002790        0.134994231                0.000131397             VM
760           1            0.000001766        0.341794658                0.000316795             VM
802          3           0.000002383          0.261950000                0.000245879             FX
24           2            0.000003204        0.155053333                0.000150922             VM
806          5           0.000008465          0.247940000                0.000251355             FX
10           2            0.000002833        0.137099318                0.000133446             VM
758           1            0.000001660        0.321289378                0.000297790             VM
739          4           0.000004574          0.262430000                0.000252889             FX
37           2            0.000003141        0.151986872                0.000147937             VM
740          5           0.000007601          0.222040000                0.000225161             FX
803          5           0.000007325          0.213760000                0.000216787             FX
854           1            0.000001747        0.338139296                0.000313407             VM
759          4           0.000005942          0.344490000                0.000331777             FX
751          4           0.000006321          0.367270000                0.000353677             FX
853           1            0.000001694        0.327873909                0.000303893             VM
804          4           0.000004578          0.262700000                0.000253148             FX
757          3           0.000003077          0.345280000                0.000323905             FX
756           1            0.000001855        0.358960902                0.000332706             VM
738          5           0.000009241          0.271230000                0.000274909             FX
752          4           0.000007327          0.427620000                0.000411695             FX
753          3           0.000003040          0.340800000                0.000319710             FX
2524           1            0.000094333        18.256817828                0.016921487             VM
2523           1            0.000094276        18.245813685                0.016911288             VM
2518           1            0.000094339        18.257887963                0.016922479             VM
2503           1            0.000093832        18.159898889                0.016831657             VM
2520           1            0.000094324        18.255152082                0.016919943             VM
2526           1            0.000094393        18.268397267                0.016932220             VM
2516           1            0.000094907        18.367960947                0.017024501             VM
2525           1            0.000094312        18.252850011                0.016917810             VM
2513           1            0.000094760        18.339449919                0.016998076             VM
2515           1            0.000094455        18.280366722                0.016943314             VM
2508           1            0.000095188        18.422206525                0.017074779             VM
2507           1            0.000095373        18.458118528                0.017108065             VM
2514           1            0.000095072        18.399755401                0.017053970             VM
2512           1            0.000094758        18.339060043                0.016997714             VM
2521           1            0.000094337        18.257633916                0.016922244             VM
2510           1            0.000094846        18.356135553                0.017013541             VM
2527           1            0.000094312        18.252733379                0.016917702             VM
2505           1            0.000096417        18.660156928                0.017295326             VM
2504           1            0.000096395        18.655903588                0.017291383             VM
2519           1            0.000094290        18.248594766                0.016913866             VM
2517           1            0.000094395        18.268789995                0.016932584             VM
2509           1            0.000095319        18.447611834                0.017098326             VM
2522           1            0.000094309        18.252210345                0.016917217             VM
2511           1            0.000095597        18.501520001                0.017148292             VM
2506           1            0.000095294        18.442902816                0.017093962             VM
2528          4           0.000022680          1.348810000                0.001297286             FX
========================================================================
025_T76_C5_D220_VM3.txt	 3	 0.437215843830436	 224.421307	 0.002586	 471.229214
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
34           2            0.000002990        0.144698406                0.000140843             VM
2           2            0.000002914        0.140978434                0.000137222             VM
37           2            0.000003141        0.151986872                0.000147937             VM
28           2            0.000002947        0.142576126                0.000138777             VM
24           2            0.000003204        0.155053333                0.000150922             VM
9           2            0.000003145        0.152198777                0.000148144             VM
803          5           0.000007325          0.213760000                0.000216787             FX
25           2            0.000002772        0.134132473                0.000130559             VM
10           2            0.000002833        0.137099318                0.000133446             VM
30           2            0.000002710        0.131109051                0.000127616             VM
38           2            0.000003088        0.149416602                0.000145436             VM
731           2            0.000003174        0.153594167                0.000149502             VM
36           2            0.000002995        0.144923153                0.000141062             VM
39           2            0.000002994        0.144888765                0.000141028             VM
802          5           0.000008027          0.234800000                0.000238066             FX
804          5           0.000007988          0.233640000                0.000236893             FX
733           2            0.000002764        0.133759008                0.000130195             VM
27           2            0.000002721        0.131676029                0.000128168             VM
1           1            0.000001277        0.247150723                0.000229074             VM
739          5           0.000007872          0.230150000                0.000233363             FX
735           2            0.000003114        0.150684820                0.000146670             VM
29           2            0.000002821        0.136518037                0.000132881             VM
755          3           0.000002969          0.332280000                0.000311733             FX
757          3           0.000003077          0.345280000                0.000323905             FX
737          4           0.000004379          0.250720000                0.000241631             FX
754           1            0.000001852        0.358489858                0.000332269             VM
33           2            0.000002584        0.125014442                0.000121684             VM
40           2            0.000002681        0.129711973                0.000126256             VM
23           2            0.000003336        0.161393558                0.000157093             VM
806          5           0.000008465          0.247940000                0.000251355             FX
26           2            0.000002927        0.141609829                0.000137837             VM
758           1            0.000001660        0.321289378                0.000297790             VM
759          4           0.000005942          0.344490000                0.000331777             FX
738          5           0.000009241          0.271230000                0.000274909             FX
736          5           0.000008117          0.237520000                0.000240817             FX
734           2            0.000002996        0.144973892                0.000141111             VM
35           2            0.000003401        0.164550866                0.000160167             VM
732           2            0.000002790        0.134994231                0.000131397             VM
856           1            0.000001707        0.330309764                0.000306150             VM
854           1            0.000001747        0.338139296                0.000313407             VM
852           1            0.000001652        0.319766681                0.000296378             VM
740          5           0.000007601          0.222040000                0.000225161             FX
751          4           0.000006321          0.367270000                0.000353677             FX
805          5           0.000007714          0.225430000                0.000228589             FX
853           1            0.000001694        0.327873909                0.000303893             VM
756           1            0.000001855        0.358960902                0.000332706             VM
760           1            0.000001766        0.341794658                0.000316795             VM
855           1            0.000001685        0.326187472                0.000302330             VM
753          3           0.000003040          0.340800000                0.000319710             FX
752          4           0.000007327          0.427620000                0.000411695             FX
2523           1            0.000094276        18.245813685                0.016911288             VM
2515           1            0.000094455        18.280366722                0.016943314             VM
2514           1            0.000095072        18.399755401                0.017053970             VM
2506           1            0.000095294        18.442902816                0.017093962             VM
2522           1            0.000094309        18.252210345                0.016917217             VM
2517           1            0.000094395        18.268789995                0.016932584             VM
2508           1            0.000095188        18.422206525                0.017074779             VM
2510           1            0.000094846        18.356135553                0.017013541             VM
2513           1            0.000094760        18.339449919                0.016998076             VM
2526           1            0.000094393        18.268397267                0.016932220             VM
2507           1            0.000095373        18.458118528                0.017108065             VM
2516           1            0.000094907        18.367960947                0.017024501             VM
2519           1            0.000094290        18.248594766                0.016913866             VM
2518           1            0.000094339        18.257887963                0.016922479             VM
2512           1            0.000094758        18.339060043                0.016997714             VM
2525           1            0.000094312        18.252850011                0.016917810             VM
2503           1            0.000093832        18.159898889                0.016831657             VM
2504           1            0.000096395        18.655903588                0.017291383             VM
2505           1            0.000096417        18.660156928                0.017295326             VM
2521           1            0.000094337        18.257633916                0.016922244             VM
2511           1            0.000095597        18.501520001                0.017148292             VM
2520           1            0.000094324        18.255152082                0.016919943             VM
2527           1            0.000094312        18.252733379                0.016917702             VM
2524           1            0.000094333        18.256817828                0.016921487             VM
2509           1            0.000095319        18.447611834                0.017098326             VM
2528          4           0.000022680          1.348810000                0.001297286             FX
========================================================================
025_T76_C5_D220_VM3.txt	 4	 0.437241036927034	 224.614365	 0.002572	 471.303124
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
25           2            0.000002772        0.134132473                0.000130559             VM
38           2            0.000003088        0.149416602                0.000145436             VM
35           2            0.000003401        0.164550866                0.000160167             VM
735           2            0.000003114        0.150684820                0.000146670             VM
27           2            0.000002721        0.131676029                0.000128168             VM
9           2            0.000003145        0.152198777                0.000148144             VM
29           2            0.000002821        0.136518037                0.000132881             VM
10           2            0.000002833        0.137099318                0.000133446             VM
2           2            0.000002914        0.140978434                0.000137222             VM
739          5           0.000007872          0.230150000                0.000233363             FX
39           2            0.000002994        0.144888765                0.000141028             VM
23           2            0.000003336        0.161393558                0.000157093             VM
734           2            0.000002996        0.144973892                0.000141111             VM
1           1            0.000001277        0.247150723                0.000229074             VM
36           2            0.000002995        0.144923153                0.000141062             VM
40           2            0.000002681        0.129711973                0.000126256             VM
34           2            0.000002990        0.144698406                0.000140843             VM
740          5           0.000007601          0.222040000                0.000225161             FX
732           2            0.000002790        0.134994231                0.000131397             VM
28           2            0.000002947        0.142576126                0.000138777             VM
853           1            0.000001694        0.327873909                0.000303893             VM
24           2            0.000003204        0.155053333                0.000150922             VM
856           1            0.000001707        0.330309764                0.000306150             VM
805          5           0.000007714          0.225430000                0.000228589             FX
806          5           0.000008465          0.247940000                0.000251355             FX
755          3           0.000002969          0.332280000                0.000311733             FX
733           2            0.000002764        0.133759008                0.000130195             VM
736          5           0.000008117          0.237520000                0.000240817             FX
26           2            0.000002927        0.141609829                0.000137837             VM
855           1            0.000001685        0.326187472                0.000302330             VM
759          4           0.000005942          0.344490000                0.000331777             FX
804          4           0.000004578          0.262700000                0.000253148             FX
731           2            0.000003174        0.153594167                0.000149502             VM
754           1            0.000001852        0.358489858                0.000332269             VM
30           2            0.000002710        0.131109051                0.000127616             VM
760           1            0.000001766        0.341794658                0.000316795             VM
37           2            0.000003141        0.151986872                0.000147937             VM
33           2            0.000002584        0.125014442                0.000121684             VM
758           1            0.000001660        0.321289378                0.000297790             VM
852           1            0.000001652        0.319766681                0.000296378             VM
802          3           0.000002383          0.261950000                0.000245879             FX
803          5           0.000007325          0.213760000                0.000216787             FX
854           1            0.000001747        0.338139296                0.000313407             VM
757          3           0.000003077          0.345280000                0.000323905             FX
756           1            0.000001855        0.358960902                0.000332706             VM
753          3           0.000003040          0.340800000                0.000319710             FX
751          3           0.000003357          0.378890000                0.000355376             FX
738          5           0.000009241          0.271230000                0.000274909             FX
737          3           0.000002340          0.256800000                0.000241056             FX
752          4           0.000007327          0.427620000                0.000411695             FX
2511           1            0.000095597        18.501520001                0.017148292             VM
2503           1            0.000093832        18.159898889                0.016831657             VM
2525           1            0.000094312        18.252850011                0.016917810             VM
2522           1            0.000094309        18.252210345                0.016917217             VM
2504           1            0.000096395        18.655903588                0.017291383             VM
2521           1            0.000094337        18.257633916                0.016922244             VM
2507           1            0.000095373        18.458118528                0.017108065             VM
2512           1            0.000094758        18.339060043                0.016997714             VM
2523           1            0.000094276        18.245813685                0.016911288             VM
2519           1            0.000094290        18.248594766                0.016913866             VM
2526           1            0.000094393        18.268397267                0.016932220             VM
2515           1            0.000094455        18.280366722                0.016943314             VM
2520           1            0.000094324        18.255152082                0.016919943             VM
2508           1            0.000095188        18.422206525                0.017074779             VM
2506           1            0.000095294        18.442902816                0.017093962             VM
2527           1            0.000094312        18.252733379                0.016917702             VM
2514           1            0.000095072        18.399755401                0.017053970             VM
2509           1            0.000095319        18.447611834                0.017098326             VM
2524           1            0.000094333        18.256817828                0.016921487             VM
2517           1            0.000094395        18.268789995                0.016932584             VM
2518           1            0.000094339        18.257887963                0.016922479             VM
2510           1            0.000094846        18.356135553                0.017013541             VM
2516           1            0.000094907        18.367960947                0.017024501             VM
2513           1            0.000094760        18.339449919                0.016998076             VM
2505           1            0.000096417        18.660156928                0.017295326             VM
2528          4           0.000022680          1.348810000                0.001297286             FX
========================================================================
025_T76_C5_D220_VM3.txt	 5	 0.437251050417289	 224.098841	 0.002577	 471.296634
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
29           2            0.000002821        0.136518037                0.000132881             VM
28           2            0.000002947        0.142576126                0.000138777             VM
30           2            0.000002710        0.131109051                0.000127616             VM
37           2            0.000003141        0.151986872                0.000147937             VM
2           2            0.000002914        0.140978434                0.000137222             VM
27           2            0.000002721        0.131676029                0.000128168             VM
9           2            0.000003145        0.152198777                0.000148144             VM
26           2            0.000002927        0.141609829                0.000137837             VM
732           2            0.000002790        0.134994231                0.000131397             VM
33           2            0.000002584        0.125014442                0.000121684             VM
40           2            0.000002681        0.129711973                0.000126256             VM
731           2            0.000003174        0.153594167                0.000149502             VM
1           1            0.000001277        0.247150723                0.000229074             VM
24           2            0.000003204        0.155053333                0.000150922             VM
736          5           0.000008117          0.237520000                0.000240817             FX
25           2            0.000002772        0.134132473                0.000130559             VM
34           2            0.000002990        0.144698406                0.000140843             VM
35           2            0.000003401        0.164550866                0.000160167             VM
756           1            0.000001855        0.358960902                0.000332706             VM
735           2            0.000003114        0.150684820                0.000146670             VM
38           2            0.000003088        0.149416602                0.000145436             VM
734           2            0.000002996        0.144973892                0.000141111             VM
733           2            0.000002764        0.133759008                0.000130195             VM
10           2            0.000002833        0.137099318                0.000133446             VM
753          3           0.000003040          0.340800000                0.000319710             FX
36           2            0.000002995        0.144923153                0.000141062             VM
803          5           0.000007325          0.213760000                0.000216787             FX
802          5           0.000008027          0.234800000                0.000238066             FX
852           1            0.000001652        0.319766681                0.000296378             VM
739          4           0.000004574          0.262430000                0.000252889             FX
738          5           0.000009241          0.271230000                0.000274909             FX
855           1            0.000001685        0.326187472                0.000302330             VM
758           1            0.000001660        0.321289378                0.000297790             VM
804          4           0.000004578          0.262700000                0.000253148             FX
755          3           0.000002969          0.332280000                0.000311733             FX
759          4           0.000005942          0.344490000                0.000331777             FX
23           2            0.000003336        0.161393558                0.000157093             VM
760           1            0.000001766        0.341794658                0.000316795             VM
754           1            0.000001852        0.358489858                0.000332269             VM
854           1            0.000001747        0.338139296                0.000313407             VM
737          3           0.000002340          0.256800000                0.000241056             FX
740          5           0.000007601          0.222040000                0.000225161             FX
806          5           0.000008465          0.247940000                0.000251355             FX
39           2            0.000002994        0.144888765                0.000141028             VM
853           1            0.000001694        0.327873909                0.000303893             VM
856           1            0.000001707        0.330309764                0.000306150             VM
805          5           0.000007714          0.225430000                0.000228589             FX
752          4           0.000007327          0.427620000                0.000411695             FX
751          4           0.000006321          0.367270000                0.000353677             FX
757          3           0.000003077          0.345280000                0.000323905             FX
2509           1            0.000095319        18.447611834                0.017098326             VM
2520           1            0.000094324        18.255152082                0.016919943             VM
2511           1            0.000095597        18.501520001                0.017148292             VM
2510           1            0.000094846        18.356135553                0.017013541             VM
2517           1            0.000094395        18.268789995                0.016932584             VM
2526           1            0.000094393        18.268397267                0.016932220             VM
2519           1            0.000094290        18.248594766                0.016913866             VM
2525           1            0.000094312        18.252850011                0.016917810             VM
2521           1            0.000094337        18.257633916                0.016922244             VM
2504           1            0.000096395        18.655903588                0.017291383             VM
2512           1            0.000094758        18.339060043                0.016997714             VM
2522           1            0.000094309        18.252210345                0.016917217             VM
2516           1            0.000094907        18.367960947                0.017024501             VM
2518           1            0.000094339        18.257887963                0.016922479             VM
2524           1            0.000094333        18.256817828                0.016921487             VM
2513           1            0.000094760        18.339449919                0.016998076             VM
2523           1            0.000094276        18.245813685                0.016911288             VM
2515           1            0.000094455        18.280366722                0.016943314             VM
2506           1            0.000095294        18.442902816                0.017093962             VM
2514           1            0.000095072        18.399755401                0.017053970             VM
2508           1            0.000095188        18.422206525                0.017074779             VM
2527           1            0.000094312        18.252733379                0.016917702             VM
2507           1            0.000095373        18.458118528                0.017108065             VM
2505           1            0.000096417        18.660156928                0.017295326             VM
2503           1            0.000093832        18.159898889                0.016831657             VM
2528          4           0.000022680          1.348810000                0.001297286             FX
========================================================================
025_T76_C5_D220_VM3.txt	 6	 0.437232099413512	 235.920007	 0.002582	 471.258274
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
733           2            0.000002764        0.133759008                0.000130195             VM
33           2            0.000002584        0.125014442                0.000121684             VM
25           2            0.000002772        0.134132473                0.000130559             VM
38           2            0.000003088        0.149416602                0.000145436             VM
735           2            0.000003114        0.150684820                0.000146670             VM
37           2            0.000003141        0.151986872                0.000147937             VM
23           2            0.000003336        0.161393558                0.000157093             VM
28           2            0.000002947        0.142576126                0.000138777             VM
9           2            0.000003145        0.152198777                0.000148144             VM
27           2            0.000002721        0.131676029                0.000128168             VM
1           1            0.000001277        0.247150723                0.000229074             VM
734           2            0.000002996        0.144973892                0.000141111             VM
2           2            0.000002914        0.140978434                0.000137222             VM
731           2            0.000003174        0.153594167                0.000149502             VM
34           2            0.000002990        0.144698406                0.000140843             VM
10           2            0.000002833        0.137099318                0.000133446             VM
732           2            0.000002790        0.134994231                0.000131397             VM
804          4           0.000004578          0.262700000                0.000253148             FX
39           2            0.000002994        0.144888765                0.000141028             VM
852           1            0.000001652        0.319766681                0.000296378             VM
30           2            0.000002710        0.131109051                0.000127616             VM
36           2            0.000002995        0.144923153                0.000141062             VM
802          5           0.000008027          0.234800000                0.000238066             FX
738          5           0.000009241          0.271230000                0.000274909             FX
736          5           0.000008117          0.237520000                0.000240817             FX
739          5           0.000007872          0.230150000                0.000233363             FX
26           2            0.000002927        0.141609829                0.000137837             VM
740          5           0.000007601          0.222040000                0.000225161             FX
24           2            0.000003204        0.155053333                0.000150922             VM
753          3           0.000003040          0.340800000                0.000319710             FX
40           2            0.000002681        0.129711973                0.000126256             VM
806          5           0.000008465          0.247940000                0.000251355             FX
29           2            0.000002821        0.136518037                0.000132881             VM
855           1            0.000001685        0.326187472                0.000302330             VM
737          4           0.000004379          0.250720000                0.000241631             FX
757          3           0.000003077          0.345280000                0.000323905             FX
854           1            0.000001747        0.338139296                0.000313407             VM
803          5           0.000007325          0.213760000                0.000216787             FX
35           2            0.000003401        0.164550866                0.000160167             VM
853           1            0.000001694        0.327873909                0.000303893             VM
805          5           0.000007714          0.225430000                0.000228589             FX
760           1            0.000001766        0.341794658                0.000316795             VM
756           1            0.000001855        0.358960902                0.000332706             VM
758           1            0.000001660        0.321289378                0.000297790             VM
754           1            0.000001852        0.358489858                0.000332269             VM
751          4           0.000006321          0.367270000                0.000353677             FX
856           1            0.000001707        0.330309764                0.000306150             VM
755          3           0.000002969          0.332280000                0.000311733             FX
759          4           0.000005942          0.344490000                0.000331777             FX
752          4           0.000007327          0.427620000                0.000411695             FX
2522           1            0.000094309        18.252210345                0.016917217             VM
2518           1            0.000094339        18.257887963                0.016922479             VM
2527           1            0.000094312        18.252733379                0.016917702             VM
2525           1            0.000094312        18.252850011                0.016917810             VM
2503           1            0.000093832        18.159898889                0.016831657             VM
2517           1            0.000094395        18.268789995                0.016932584             VM
2508           1            0.000095188        18.422206525                0.017074779             VM
2516           1            0.000094907        18.367960947                0.017024501             VM
2526           1            0.000094393        18.268397267                0.016932220             VM
2509           1            0.000095319        18.447611834                0.017098326             VM
2524           1            0.000094333        18.256817828                0.016921487             VM
2520           1            0.000094324        18.255152082                0.016919943             VM
2512           1            0.000094758        18.339060043                0.016997714             VM
2506           1            0.000095294        18.442902816                0.017093962             VM
2519           1            0.000094290        18.248594766                0.016913866             VM
2515           1            0.000094455        18.280366722                0.016943314             VM
2504           1            0.000096395        18.655903588                0.017291383             VM
2514           1            0.000095072        18.399755401                0.017053970             VM
2510           1            0.000094846        18.356135553                0.017013541             VM
2505           1            0.000096417        18.660156928                0.017295326             VM
2507           1            0.000095373        18.458118528                0.017108065             VM
2523           1            0.000094276        18.245813685                0.016911288             VM
2511           1            0.000095597        18.501520001                0.017148292             VM
2521           1            0.000094337        18.257633916                0.016922244             VM
2513           1            0.000094760        18.339449919                0.016998076             VM
2528          4           0.000022680          1.348810000                0.001297286             FX
========================================================================
025_T76_C5_D220_VM3.txt	 7	 0.437243240597114	 226.701705	 0.002568	 471.316894
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
33           2            0.000002584        0.125014442                0.000121684             VM
735           2            0.000003114        0.150684820                0.000146670             VM
733           2            0.000002764        0.133759008                0.000130195             VM
39           2            0.000002994        0.144888765                0.000141028             VM
732           2            0.000002790        0.134994231                0.000131397             VM
24           2            0.000003204        0.155053333                0.000150922             VM
29           2            0.000002821        0.136518037                0.000132881             VM
37           2            0.000003141        0.151986872                0.000147937             VM
803          5           0.000007325          0.213760000                0.000216787             FX
27           2            0.000002721        0.131676029                0.000128168             VM
9           2            0.000003145        0.152198777                0.000148144             VM
34           2            0.000002990        0.144698406                0.000140843             VM
805          5           0.000007714          0.225430000                0.000228589             FX
731           2            0.000003174        0.153594167                0.000149502             VM
28           2            0.000002947        0.142576126                0.000138777             VM
23           2            0.000003336        0.161393558                0.000157093             VM
26           2            0.000002927        0.141609829                0.000137837             VM
10           2            0.000002833        0.137099318                0.000133446             VM
758           1            0.000001660        0.321289378                0.000297790             VM
734           2            0.000002996        0.144973892                0.000141111             VM
856           1            0.000001707        0.330309764                0.000306150             VM
753          3           0.000003040          0.340800000                0.000319710             FX
36           2            0.000002995        0.144923153                0.000141062             VM
30           2            0.000002710        0.131109051                0.000127616             VM
756           1            0.000001855        0.358960902                0.000332706             VM
855           1            0.000001685        0.326187472                0.000302330             VM
852           1            0.000001652        0.319766681                0.000296378             VM
25           2            0.000002772        0.134132473                0.000130559             VM
853           1            0.000001694        0.327873909                0.000303893             VM
1           1            0.000001277        0.247150723                0.000229074             VM
736          5           0.000008117          0.237520000                0.000240817             FX
739          5           0.000007872          0.230150000                0.000233363             FX
759          4           0.000005942          0.344490000                0.000331777             FX
35           2            0.000003401        0.164550866                0.000160167             VM
2           2            0.000002914        0.140978434                0.000137222             VM
740          5           0.000007601          0.222040000                0.000225161             FX
854           1            0.000001747        0.338139296                0.000313407             VM
802          3           0.000002383          0.261950000                0.000245879             FX
757          3           0.000003077          0.345280000                0.000323905             FX
760           1            0.000001766        0.341794658                0.000316795             VM
751          3           0.000003357          0.378890000                0.000355376             FX
737          3           0.000002340          0.256800000                0.000241056             FX
40           2            0.000002681        0.129711973                0.000126256             VM
738          5           0.000009241          0.271230000                0.000274909             FX
754           1            0.000001852        0.358489858                0.000332269             VM
755          3           0.000002969          0.332280000                0.000311733             FX
806          5           0.000008465          0.247940000                0.000251355             FX
38           2            0.000003088        0.149416602                0.000145436             VM
804          4           0.000004578          0.262700000                0.000253148             FX
752          3           0.000003878          0.441390000                0.000413899             FX
2524           1            0.000094333        18.256817828                0.016921487             VM
2519           1            0.000094290        18.248594766                0.016913866             VM
2526           1            0.000094393        18.268397267                0.016932220             VM
2510           1            0.000094846        18.356135553                0.017013541             VM
2509           1            0.000095319        18.447611834                0.017098326             VM
2513           1            0.000094760        18.339449919                0.016998076             VM
2527           1            0.000094312        18.252733379                0.016917702             VM
2505           1            0.000096417        18.660156928                0.017295326             VM
2520           1            0.000094324        18.255152082                0.016919943             VM
2515           1            0.000094455        18.280366722                0.016943314             VM
2525           1            0.000094312        18.252850011                0.016917810             VM
2507           1            0.000095373        18.458118528                0.017108065             VM
2503           1            0.000093832        18.159898889                0.016831657             VM
