<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
1333           2            0.000002414        0.116786963                0.000063707             VM
824           2            0.000002526        0.122226056                0.000066674             VM
1418          4           0.000003718          0.211070000                0.000114234             FX
1635           1            0.000001135        0.219665107                0.000115051             VM
1590           1            0.000001140        0.220626953                0.000115555             VM
1438           1            0.000001337        0.258782431                0.000135539             VM
1291           2            0.000002632        0.127361600                0.000069475             VM
1546           1            0.000001369        0.264854702                0.000138720             VM
1365           2            0.000002479        0.119962939                0.000065439             VM
1636           1            0.000001193        0.230898658                0.000120935             VM
1630           1            0.000001191        0.230569622                0.000120763             VM
1429          5           0.000009390          0.275690000                0.000155566             FX
1516           1            0.000001348        0.260879887                0.000136638             VM
1358           2            0.000003077        0.148886559                0.000081217             VM
865           2            0.000002961        0.143269340                0.000078153             VM
1534           1            0.000001351        0.261541687                0.000136984             VM
1372           2            0.000002414        0.116818699                0.000063724             VM
1542           1            0.000001349        0.261041142                0.000136722             VM
1431          4           0.000003665          0.207870000                0.000112507             FX
1413           2            0.000002967        0.143584558                0.000078325             VM
1638           1            0.000001154        0.223298922                0.000116954             VM
1637           1            0.000001210        0.234193766                0.000122661             VM
1540           1            0.000001344        0.260091456                0.000136225             VM
815           2            0.000002515        0.121672474                0.000066372             VM
1552           1            0.000001423        0.275354790                0.000144219             VM
1562           1            0.000001370        0.265056316                0.000138825             VM
1632           1            0.000001198        0.231888085                0.000121453             VM
1614           1            0.000001156        0.223664708                0.000117146             VM
26           2            0.000005620        0.271913651                0.000148328             VM
1514           1            0.000001363        0.263864146                0.000138201             VM
760           2            0.000002770        0.134026965                0.000073111             VM
1532           1            0.000001341        0.259508940                0.000135920             VM
1571           1            0.000001377        0.266569834                0.000139618             VM
759           2            0.000002992        0.144779328                0.000078977             VM
1639           1            0.000001182        0.228699185                0.000119783             VM
1607           1            0.000001429        0.276649455                0.000144897             VM
1619           1            0.000001221        0.236299615                0.000123764             VM
1543           1            0.000001357        0.262712459                0.000137598             VM
1436          5           0.000007831          0.228930000                0.000129228             FX
1497           1            0.000001322        0.255904587                0.000134032             VM
1610           1            0.000001165        0.225375080                0.000118042             VM
1568           1            0.000001361        0.263370899                0.000137942             VM
1435          4           0.000004087          0.233200000                0.000126182             FX
1347           2            0.000002729        0.132027032                0.000072020             VM
814           2            0.000002756        0.133351016                0.000072743             VM
1492           1            0.000001284        0.248408597                0.000130106             VM
1548           1            0.000001365        0.264195139                0.000138374             VM
1426          5           0.000008765          0.256940000                0.000145005             FX
1555           1            0.000001391        0.269192400                0.000140992             VM
1599           1            0.000001127        0.218174301                0.000114270             VM
1566           1            0.000001390        0.269048786                0.000140916             VM
1531           1            0.000001661        0.321433221                0.000168353             VM
1559           1            0.000001404        0.271749411                0.000142331             VM
1414          5           0.000009780          0.287390000                0.000162156             FX
9609           1            0.000112510        21.774722966                0.011404673             VM
9574           1            0.000112748        21.820817749                0.011428816             VM
9599           1            0.000112436        21.760344521                0.011397142             VM
9597           1            0.000112449        21.762829954                0.011398444             VM
9588           1            0.000112790        21.828933147                0.011433066             VM
9608           1            0.000112519        21.776537351                0.011405623             VM
9595           1            0.000112458        21.764577075                0.011399359             VM
9586           1            0.000112826        21.835970781                0.011436752             VM
9565           1            0.000114225        22.106649313                0.011578522             VM
9566           1            0.000113194        21.907169828                0.011474043             VM
9594           1            0.000112472        21.767283349                0.011400777             VM
9607           1            0.000112468        21.766669050                0.011400455             VM
9606           1            0.000112459        21.764939285                0.011399549             VM
9598           1            0.000112449        21.762922483                0.011398493             VM
9576           1            0.000112799        21.830636364                0.011433958             VM
9590           1            0.000112820        21.834745215                0.011436110             VM
9583           1            0.000112796        21.830081277                0.011433668             VM
9596           1            0.000112473        21.767540108                0.011400911             VM
9602           1            0.000112423        21.757932657                0.011395879             VM
9577           1            0.000112797        21.830201273                0.011433730             VM
9582           1            0.000112820        21.834740960                0.011436108             VM
9567           1            0.000113207        21.909552795                0.011475291             VM
9580           1            0.000112785        21.827988239                0.011432571             VM
9585           1            0.000112815        21.833723454                0.011435575             VM
9601           1            0.000112452        21.763593999                0.011398844             VM
9575           1            0.000112809        21.832597484                0.011434985             VM
9604           1            0.000112425        21.758290904                0.011396067             VM
9570           1            0.000113174        21.903166762                0.011471947             VM
9593           1            0.000112838        21.838158077                0.011437898             VM
9581           1            0.000112818        21.834393884                0.011435926             VM
9568           1            0.000113163        21.901033015                0.011470829             VM
9578           1            0.000112765        21.823998424                0.011430482             VM
9573           1            0.000113181        21.904649203                0.011472723             VM
9579           1            0.000112827        21.836145703                0.011436844             VM
9600           1            0.000112484        21.769687742                0.011402036             VM
9603           1            0.000112471        21.767178484                0.011400722             VM
9569           1            0.000113177        21.903842453                0.011472300             VM
9591           1            0.000112795        21.829835248                0.011433539             VM
9572           1            0.000113141        21.896871750                0.011468650             VM
9592           1            0.000112805        21.831758215                0.011434546             VM
9589           1            0.000112796        21.830162815                0.011433710             VM
9571           1            0.000113173        21.902962758                0.011471840             VM
9605           1            0.000112535        21.779518094                0.011407185             VM
9587           1            0.000112821        21.834922989                0.011436203             VM
9584           1            0.000112876        21.845557549                0.011441773             VM
9610          5           0.000068442          2.047270000                0.001153429             FX
========================================================================
045_T136_C5_D311_VM3.txt	 2	 0.524856489153068	 600.096657	 0.005387	 1001.531011
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
1389           2            0.000002480        0.120005331                0.000065462             VM
1361           3            0.000010582        0.128004521                0.000080958             VM
753           2            0.000002950        0.142730153                0.000077859             VM
1413           2            0.000002967        0.143584558                0.000078325             VM
739           2            0.000002660        0.128696678                0.000070204             VM
36           2            0.000002477        0.119837058                0.000065371             VM
1291           2            0.000002632        0.127361600                0.000069475             VM
1341           2            0.000002563        0.124016154                0.000067650             VM
874           2            0.000002689        0.130099311                0.000070969             VM
1333           2            0.000002414        0.116786963                0.000063707             VM
760           2            0.000002770        0.134026965                0.000073111             VM
824           2            0.000002526        0.122226056                0.000066674             VM
1418          4           0.000003718          0.211070000                0.000114234             FX
815           2            0.000002515        0.121672474                0.000066372             VM
1345           2            0.000002871        0.138918688                0.000075780             VM
1347           2            0.000002729        0.132027032                0.000072020             VM
1590           1            0.000001140        0.220626953                0.000115555             VM
1365           2            0.000002479        0.119962939                0.000065439             VM
1639           1            0.000001182        0.228699185                0.000119783             VM
1313           2            0.000003026        0.146423166                0.000079873             VM
1370           2            0.000002895        0.140059628                0.000076402             VM
1599           1            0.000001127        0.218174301                0.000114270             VM
1330           2            0.000002572        0.124466978                0.000067896             VM
1331           2            0.000002602        0.125916215                0.000068687             VM
1372           2            0.000002414        0.116818699                0.000063724             VM
1296           2            0.000002960        0.143201597                0.000078116             VM
1619           1            0.000001221        0.236299615                0.000123764             VM
1342           2            0.000002622        0.126869193                0.000069207             VM
871           2            0.000002569        0.124288042                0.000067799             VM
1630           1            0.000001191        0.230569622                0.000120763             VM
1398           2            0.000002698        0.130523128                0.000071200             VM
740           2            0.000002693        0.130287824                0.000071072             VM
1431          4           0.000003665          0.207870000                0.000112507             FX
1573           1            0.000001056        0.204404913                0.000107059             VM
1632           1            0.000001198        0.231888085                0.000121453             VM
821           2            0.000002975        0.143929250                0.000078513             VM
1339           2            0.000003112        0.150593417                0.000082148             VM
1436          5           0.000007831          0.228930000                0.000129228             FX
1406           2            0.000002597        0.125677252                0.000068557             VM
1367           2            0.000002924        0.141472990                0.000077173             VM
1552           1            0.000001423        0.275354790                0.000144219             VM
1514           1            0.000001363        0.263864146                0.000138201             VM
1542           1            0.000001349        0.261041142                0.000136722             VM
1354           2            0.000004003        0.193704346                0.000105665             VM
1358           2            0.000003077        0.148886559                0.000081217             VM
1546           1            0.000001369        0.264854702                0.000138720             VM
1351           2            0.000002499        0.120916689                0.000065960             VM
864           2            0.000002574        0.124540780                0.000067937             VM
1497           1            0.000001322        0.255904587                0.000134032             VM
1636           1            0.000001193        0.230898658                0.000120935             VM
733           2            0.000002818        0.136366703                0.000074388             VM
1562           1            0.000001370        0.265056316                0.000138825             VM
1635           1            0.000001135        0.219665107                0.000115051             VM
813           2            0.000002603        0.125925689                0.000068692             VM
1615           1            0.000001157        0.223868035                0.000117253             VM
1409           2            0.000002607        0.126149471                0.000068814             VM
1637           1            0.000001210        0.234193766                0.000122661             VM
814           2            0.000002756        0.133351016                0.000072743             VM
1429          5           0.000009390          0.275690000                0.000155566             FX
1534           1            0.000001351        0.261541687                0.000136984             VM
1492           1            0.000001284        0.248408597                0.000130106             VM
1516           1            0.000001348        0.260879887                0.000136638             VM
1614           1            0.000001156        0.223664708                0.000117146             VM
808           2            0.000002803        0.135629709                0.000073986             VM
1627           1            0.000001137        0.220021856                0.000115238             VM
1438           1            0.000001337        0.258782431                0.000135539             VM
858           2            0.000002826        0.136762437                0.000074603             VM
1638           1            0.000001154        0.223298922                0.000116954             VM
1315           2            0.000002816        0.136245374                0.000074321             VM
1566           1            0.000001390        0.269048786                0.000140916             VM
1434          5           0.000007450          0.217500000                0.000122790             FX
759           2            0.000002992        0.144779328                0.000078977             VM
26           2            0.000005620        0.271913651                0.000148328             VM
1555           1            0.000001391        0.269192400                0.000140992             VM
1568           1            0.000001361        0.263370899                0.000137942             VM
1548           1            0.000001365        0.264195139                0.000138374             VM
1543           1            0.000001357        0.262712459                0.000137598             VM
1607           1            0.000001429        0.276649455                0.000144897             VM
1559           1            0.000001404        0.271749411                0.000142331             VM
1610           1            0.000001165        0.225375080                0.000118042             VM
863           2            0.000002757        0.133401907                0.000072770             VM
1571           1            0.000001377        0.266569834                0.000139618             VM
865           2            0.000002961        0.143269340                0.000078153             VM
1435          4           0.000004087          0.233200000                0.000126182             FX
1437          5           0.000007371          0.215130000                0.000121455             FX
1540           1            0.000001344        0.260091456                0.000136225             VM
1414          5           0.000009780          0.287390000                0.000162156             FX
1532           1            0.000001341        0.259508940                0.000135920             VM
1426          5           0.000008765          0.256940000                0.000145005             FX
1531           1            0.000001661        0.321433221                0.000168353             VM
9594           1            0.000112472        21.767283349                0.011400777             VM
9581           1            0.000112818        21.834393884                0.011435926             VM
9582           1            0.000112820        21.834740960                0.011436108             VM
9583           1            0.000112796        21.830081277                0.011433668             VM
9573           1            0.000113181        21.904649203                0.011472723             VM
9601           1            0.000112452        21.763593999                0.011398844             VM
9587           1            0.000112821        21.834922989                0.011436203             VM
9578           1            0.000112765        21.823998424                0.011430482             VM
9584           1            0.000112876        21.845557549                0.011441773             VM
9572           1            0.000113141        21.896871750                0.011468650             VM
9602           1            0.000112423        21.757932657                0.011395879             VM
9576           1            0.000112799        21.830636364                0.011433958             VM
9580           1            0.000112785        21.827988239                0.011432571             VM
9598           1            0.000112449        21.762922483                0.011398493             VM
9593           1            0.000112838        21.838158077                0.011437898             VM
9574           1            0.000112748        21.820817749                0.011428816             VM
9600           1            0.000112484        21.769687742                0.011402036             VM
9597           1            0.000112449        21.762829954                0.011398444             VM
9591           1            0.000112795        21.829835248                0.011433539             VM
9567           1            0.000113207        21.909552795                0.011475291             VM
9606           1            0.000112459        21.764939285                0.011399549             VM
9609           1            0.000112510        21.774722966                0.011404673             VM
9608           1            0.000112519        21.776537351                0.011405623             VM
9571           1            0.000113173        21.902962758                0.011471840             VM
9577           1            0.000112797        21.830201273                0.011433730             VM
9599           1            0.000112436        21.760344521                0.011397142             VM
9596           1            0.000112473        21.767540108                0.011400911             VM
9604           1            0.000112425        21.758290904                0.011396067             VM
9603           1            0.000112471        21.767178484                0.011400722             VM
9570           1            0.000113174        21.903166762                0.011471947             VM
9588           1            0.000112790        21.828933147                0.011433066             VM
9586           1            0.000112826        21.835970781                0.011436752             VM
9569           1            0.000113177        21.903842453                0.011472300             VM
9607           1            0.000112468        21.766669050                0.011400455             VM
9565           1            0.000114225        22.106649313                0.011578522             VM
9589           1            0.000112796        21.830162815                0.011433710             VM
9590           1            0.000112820        21.834745215                0.011436110             VM
9566           1            0.000113194        21.907169828                0.011474043             VM
9592           1            0.000112805        21.831758215                0.011434546             VM
9575           1            0.000112809        21.832597484                0.011434985             VM
9579           1            0.000112827        21.836145703                0.011436844             VM
9595           1            0.000112458        21.764577075                0.011399359             VM
9585           1            0.000112815        21.833723454                0.011435575             VM
9605           1            0.000112535        21.779518094                0.011407185             VM
9568           1            0.000113163        21.901033015                0.011470829             VM
9610          5           0.000068442          2.047270000                0.001153429             FX
========================================================================
045_T136_C5_D311_VM3.txt	 3	 0.524855755366538	 591.114993	 0.005394	 1001.511271
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
815           2            0.000002515        0.121672474                0.000066372             VM
1313           2            0.000003026        0.146423166                0.000079873             VM
1315           2            0.000002816        0.136245374                0.000074321             VM
1367           2            0.000002924        0.141472990                0.000077173             VM
1291           2            0.000002632        0.127361600                0.000069475             VM
753           2            0.000002950        0.142730153                0.000077859             VM
1358           2            0.000003077        0.148886559                0.000081217             VM
1370           2            0.000002895        0.140059628                0.000076402             VM
824           2            0.000002526        0.122226056                0.000066674             VM
863           2            0.000002757        0.133401907                0.000072770             VM
1354           2            0.000004003        0.193704346                0.000105665             VM
1372           2            0.000002414        0.116818699                0.000063724             VM
871           2            0.000002569        0.124288042                0.000067799             VM
1409           2            0.000002607        0.126149471                0.000068814             VM
1331           2            0.000002602        0.125916215                0.000068687             VM
1638           1            0.000001154        0.223298922                0.000116954             VM
759           2            0.000002992        0.144779328                0.000078977             VM
1351           2            0.000002499        0.120916689                0.000065960             VM
1365           2            0.000002479        0.119962939                0.000065439             VM
739           2            0.000002660        0.128696678                0.000070204             VM
1542           1            0.000001349        0.261041142                0.000136722             VM
813           2            0.000002603        0.125925689                0.000068692             VM
808           2            0.000002803        0.135629709                0.000073986             VM
1632           1            0.000001198        0.231888085                0.000121453             VM
1398           2            0.000002698        0.130523128                0.000071200             VM
1437          5           0.000007371          0.215130000                0.000121455             FX
864           2            0.000002574        0.124540780                0.000067937             VM
1339           2            0.000003112        0.150593417                0.000082148             VM
1389           2            0.000002480        0.120005331                0.000065462             VM
1347           2            0.000002729        0.132027032                0.000072020             VM
821           2            0.000002975        0.143929250                0.000078513             VM
1342           2            0.000002622        0.126869193                0.000069207             VM
1573           1            0.000001056        0.204404913                0.000107059             VM
1333           2            0.000002414        0.116786963                0.000063707             VM
1435          5           0.000007524          0.219720000                0.000124040             FX
740           2            0.000002693        0.130287824                0.000071072             VM
1296           2            0.000002960        0.143201597                0.000078116             VM
36           2            0.000002477        0.119837058                0.000065371             VM
865           2            0.000002961        0.143269340                0.000078153             VM
1330           2            0.000002572        0.124466978                0.000067896             VM
733           2            0.000002818        0.136366703                0.000074388             VM
1614           1            0.000001156        0.223664708                0.000117146             VM
1559           1            0.000001404        0.271749411                0.000142331             VM
1607           1            0.000001429        0.276649455                0.000144897             VM
814           2            0.000002756        0.133351016                0.000072743             VM
1610           1            0.000001165        0.225375080                0.000118042             VM
1426          5           0.000008765          0.256940000                0.000145005             FX
1562           1            0.000001370        0.265056316                0.000138825             VM
874           2            0.000002689        0.130099311                0.000070969             VM
1619           1            0.000001221        0.236299615                0.000123764             VM
1636           1            0.000001193        0.230898658                0.000120935             VM
1514           1            0.000001363        0.263864146                0.000138201             VM
760           2            0.000002770        0.134026965                0.000073111             VM
1345           2            0.000002871        0.138918688                0.000075780             VM
1635           1            0.000001135        0.219665107                0.000115051             VM
1548           1            0.000001365        0.264195139                0.000138374             VM
1516           1            0.000001348        0.260879887                0.000136638             VM
1418          5           0.000007027          0.204810000                0.000115642             FX
858           2            0.000002826        0.136762437                0.000074603             VM
1438           1            0.000001337        0.258782431                0.000135539             VM
1555           1            0.000001391        0.269192400                0.000140992             VM
26           2            0.000005620        0.271913651                0.000148328             VM
1341           2            0.000002563        0.124016154                0.000067650             VM
1361           3            0.000010582        0.128004521                0.000080958             VM
1568           1            0.000001361        0.263370899                0.000137942             VM
1534           1            0.000001351        0.261541687                0.000136984             VM
1413           2            0.000002967        0.143584558                0.000078325             VM
1546           1            0.000001369        0.264854702                0.000138720             VM
1590           1            0.000001140        0.220626953                0.000115555             VM
1599           1            0.000001127        0.218174301                0.000114270             VM
1552           1            0.000001423        0.275354790                0.000144219             VM
1406           2            0.000002597        0.125677252                0.000068557             VM
1637           1            0.000001210        0.234193766                0.000122661             VM
1434          5           0.000007450          0.217500000                0.000122790             FX
1627           1            0.000001137        0.220021856                0.000115238             VM
1492           1            0.000001284        0.248408597                0.000130106             VM
1436          5           0.000007831          0.228930000                0.000129228             FX
1431          4           0.000003665          0.207870000                0.000112507             FX
1571           1            0.000001377        0.266569834                0.000139618             VM
1615           1            0.000001157        0.223868035                0.000117253             VM
1639           1            0.000001182        0.228699185                0.000119783             VM
1630           1            0.000001191        0.230569622                0.000120763             VM
1497           1            0.000001322        0.255904587                0.000134032             VM
1532           1            0.000001341        0.259508940                0.000135920             VM
1540           1            0.000001344        0.260091456                0.000136225             VM
1566           1            0.000001390        0.269048786                0.000140916             VM
1543           1            0.000001357        0.262712459                0.000137598             VM
1429          5           0.000009390          0.275690000                0.000155566             FX
1531           1            0.000001661        0.321433221                0.000168353             VM
1414          5           0.000009780          0.287390000                0.000162156             FX
9581           1            0.000112818        21.834393884                0.011435926             VM
9589           1            0.000112796        21.830162815                0.011433710             VM
9596           1            0.000112473        21.767540108                0.011400911             VM
9567           1            0.000113207        21.909552795                0.011475291             VM
9575           1            0.000112809        21.832597484                0.011434985             VM
9602           1            0.000112423        21.757932657                0.011395879             VM
9568           1            0.000113163        21.901033015                0.011470829             VM
9603           1            0.000112471        21.767178484                0.011400722             VM
9601           1            0.000112452        21.763593999                0.011398844             VM
9604           1            0.000112425        21.758290904                0.011396067             VM
9574           1            0.000112748        21.820817749                0.011428816             VM
9578           1            0.000112765        21.823998424                0.011430482             VM
9579           1            0.000112827        21.836145703                0.011436844             VM
9606           1            0.000112459        21.764939285                0.011399549             VM
9593           1            0.000112838        21.838158077                0.011437898             VM
9588           1            0.000112790        21.828933147                0.011433066             VM
9594           1            0.000112472        21.767283349                0.011400777             VM
9580           1            0.000112785        21.827988239                0.011432571             VM
9566           1            0.000113194        21.907169828                0.011474043             VM
9607           1            0.000112468        21.766669050                0.011400455             VM
9571           1            0.000113173        21.902962758                0.011471840             VM
9582           1            0.000112820        21.834740960                0.011436108             VM
9590           1            0.000112820        21.834745215                0.011436110             VM
9597           1            0.000112449        21.762829954                0.011398444             VM
9587           1            0.000112821        21.834922989                0.011436203             VM
9599           1            0.000112436        21.760344521                0.011397142             VM
9585           1            0.000112815        21.833723454                0.011435575             VM
9595           1            0.000112458        21.764577075                0.011399359             VM
9605           1            0.000112535        21.779518094                0.011407185             VM
9584           1            0.000112876        21.845557549                0.011441773             VM
9573           1            0.000113181        21.904649203                0.011472723             VM
9565           1            0.000114225        22.106649313                0.011578522             VM
9577           1            0.000112797        21.830201273                0.011433730             VM
9583           1            0.000112796        21.830081277                0.011433668             VM
9570           1            0.000113174        21.903166762                0.011471947             VM
9591           1            0.000112795        21.829835248                0.011433539             VM
9608           1            0.000112519        21.776537351                0.011405623             VM
9609           1            0.000112510        21.774722966                0.011404673             VM
9598           1            0.000112449        21.762922483                0.011398493             VM
9569           1            0.000113177        21.903842453                0.011472300             VM
9586           1            0.000112826        21.835970781                0.011436752             VM
9576           1            0.000112799        21.830636364                0.011433958             VM
9600           1            0.000112484        21.769687742                0.011402036             VM
9572           1            0.000113141        21.896871750                0.011468650             VM
9592           1            0.000112805        21.831758215                0.011434546             VM
9610          5           0.000068442          2.047270000                0.001153429             FX
========================================================================
045_T136_C5_D311_VM3.txt	 4	 0.524854347534962	 607.877613	 0.005390	 1001.517531
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
753           2            0.000002950        0.142730153                0.000077859             VM
814           2            0.000002756        0.133351016                0.000072743             VM
740           2            0.000002693        0.130287824                0.000071072             VM
1365           2            0.000002479        0.119962939                0.000065439             VM
1367           2            0.000002924        0.141472990                0.000077173             VM
821           2            0.000002975        0.143929250                0.000078513             VM
1372           2            0.000002414        0.116818699                0.000063724             VM
1398           2            0.000002698        0.130523128                0.000071200             VM
733           2            0.000002818        0.136366703                0.000074388             VM
1354           2            0.000004003        0.193704346                0.000105665             VM
1341           2            0.000002563        0.124016154                0.000067650             VM
813           2            0.000002603        0.125925689                0.000068692             VM
1313           2            0.000003026        0.146423166                0.000079873             VM
1434          5           0.000007450          0.217500000                0.000122790             FX
1632           1            0.000001198        0.231888085                0.000121453             VM
1351           2            0.000002499        0.120916689                0.000065960             VM
739           2            0.000002660        0.128696678                0.000070204             VM
865           2            0.000002961        0.143269340                0.000078153             VM
824           2            0.000002526        0.122226056                0.000066674             VM
858           2            0.000002826        0.136762437                0.000074603             VM
1315           2            0.000002816        0.136245374                0.000074321             VM
1333           2            0.000002414        0.116786963                0.000063707             VM
1342           2            0.000002622        0.126869193                0.000069207             VM
1409           2            0.000002607        0.126149471                0.000068814             VM
1370           2            0.000002895        0.140059628                0.000076402             VM
1358           2            0.000003077        0.148886559                0.000081217             VM
1566           1            0.000001390        0.269048786                0.000140916             VM
1347           2            0.000002729        0.132027032                0.000072020             VM
863           2            0.000002757        0.133401907                0.000072770             VM
1389           2            0.000002480        0.120005331                0.000065462             VM
1330           2            0.000002572        0.124466978                0.000067896             VM
1514           1            0.000001363        0.263864146                0.000138201             VM
1627           1            0.000001137        0.220021856                0.000115238             VM
871           2            0.000002569        0.124288042                0.000067799             VM
1610           1            0.000001165        0.225375080                0.000118042             VM
760           2            0.000002770        0.134026965                0.000073111             VM
1345           2            0.000002871        0.138918688                0.000075780             VM
1542           1            0.000001349        0.261041142                0.000136722             VM
1296           2            0.000002960        0.143201597                0.000078116             VM
1638           1            0.000001154        0.223298922                0.000116954             VM
808           2            0.000002803        0.135629709                0.000073986             VM
1548           1            0.000001365        0.264195139                0.000138374             VM
1406           2            0.000002597        0.125677252                0.000068557             VM
1636           1            0.000001193        0.230898658                0.000120935             VM
815           2            0.000002515        0.121672474                0.000066372             VM
1331           2            0.000002602        0.125916215                0.000068687             VM
1590           1            0.000001140        0.220626953                0.000115555             VM
1413           2            0.000002967        0.143584558                0.000078325             VM
1555           1            0.000001391        0.269192400                0.000140992             VM
1436          5           0.000007831          0.228930000                0.000129228             FX
1637           1            0.000001210        0.234193766                0.000122661             VM
874           2            0.000002689        0.130099311                0.000070969             VM
1339           2            0.000003112        0.150593417                0.000082148             VM
1291           2            0.000002632        0.127361600                0.000069475             VM
36           2            0.000002477        0.119837058                0.000065371             VM
1429          5           0.000009390          0.275690000                0.000155566             FX
1437          5           0.000007371          0.215130000                0.000121455             FX
1630           1            0.000001191        0.230569622                0.000120763             VM
1568           1            0.000001361        0.263370899                0.000137942             VM
1418          4           0.000003718          0.211070000                0.000114234             FX
1614           1            0.000001156        0.223664708                0.000117146             VM
1532           1            0.000001341        0.259508940                0.000135920             VM
1599           1            0.000001127        0.218174301                0.000114270             VM
1361           3            0.000010582        0.128004521                0.000080958             VM
1639           1            0.000001182        0.228699185                0.000119783             VM
1559           1            0.000001404        0.271749411                0.000142331             VM
1571           1            0.000001377        0.266569834                0.000139618             VM
864           2            0.000002574        0.124540780                0.000067937             VM
26           2            0.000005620        0.271913651                0.000148328             VM
1492           1            0.000001284        0.248408597                0.000130106             VM
1615           1            0.000001157        0.223868035                0.000117253             VM
1431          4           0.000003665          0.207870000                0.000112507             FX
1534           1            0.000001351        0.261541687                0.000136984             VM
1619           1            0.000001221        0.236299615                0.000123764             VM
1438           1            0.000001337        0.258782431                0.000135539             VM
1635           1            0.000001135        0.219665107                0.000115051             VM
1497           1            0.000001322        0.255904587                0.000134032             VM
1546           1            0.000001369        0.264854702                0.000138720             VM
1573           1            0.000001056        0.204404913                0.000107059             VM
1540           1            0.000001344        0.260091456                0.000136225             VM
1516           1            0.000001348        0.260879887                0.000136638             VM
1607           1            0.000001429        0.276649455                0.000144897             VM
1543           1            0.000001357        0.262712459                0.000137598             VM
1414          5           0.000009780          0.287390000                0.000162156             FX
1562           1            0.000001370        0.265056316                0.000138825             VM
759           2            0.000002992        0.144779328                0.000078977             VM
1435          5           0.000007524          0.219720000                0.000124040             FX
1531           1            0.000001661        0.321433221                0.000168353             VM
1426          5           0.000008765          0.256940000                0.000145005             FX
1552           1            0.000001423        0.275354790                0.000144219             VM
9603           1            0.000112471        21.767178484                0.011400722             VM
9601           1            0.000112452        21.763593999                0.011398844             VM
9591           1            0.000112795        21.829835248                0.011433539             VM
9579           1            0.000112827        21.836145703                0.011436844             VM
9607           1            0.000112468        21.766669050                0.011400455             VM
9588           1            0.000112790        21.828933147                0.011433066             VM
9582           1            0.000112820        21.834740960                0.011436108             VM
9596           1            0.000112473        21.767540108                0.011400911             VM
9600           1            0.000112484        21.769687742                0.011402036             VM
9566           1            0.000113194        21.907169828                0.011474043             VM
9576           1            0.000112799        21.830636364                0.011433958             VM
9609           1            0.000112510        21.774722966                0.011404673             VM
9569           1            0.000113177        21.903842453                0.011472300             VM
9581           1            0.000112818        21.834393884                0.011435926             VM
9608           1            0.000112519        21.776537351                0.011405623             VM
9587           1            0.000112821        21.834922989                0.011436203             VM
9573           1            0.000113181        21.904649203                0.011472723             VM
9589           1            0.000112796        21.830162815                0.011433710             VM
9599           1            0.000112436        21.760344521                0.011397142             VM
9593           1            0.000112838        21.838158077                0.011437898             VM
9590           1            0.000112820        21.834745215                0.011436110             VM
9592           1            0.000112805        21.831758215                0.011434546             VM
