<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
015_T46_C5_D105_VM3.txt	 1	 -1621832835699692513628040774706042281265391982620521711083677715155755921636281286656.000000000000000	 13.345572	 0.000458	 -7477473421184816444197072780490531247679832629320530103284660285965288616559306273193984.000000
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
36	 5	 0.000000000	 -5128444761691536976684174008414192290391996483972863302106270392708052642051502486061056.000000000	 -1112338304943851249953580570339931488002715159242448940969626906273097562156775243776.000000000  VM
753	 5	 0.000000000	 -2207487792721301926489481597920700381135468002804275711248398817962268965236427427151872.000000000	 -478794906378197486267028602371014834661732079631245953135203704821515224125183885312.000000000  VM
1516	 5	 0.000000000	 -141540866771977734272314884291424624325532286300103758561042296065790553822054626361344.000000000	 -30699624377643804367378269145735753267959830766457490615991526601715616457932406784.000000000  VM
1356	 2	 0.000001730	 0.367250000	 0.000465371  FX
1315	 1	 0.000001277	 0.516730000	 0.000000000  FX
1372	 1	 0.000001325	 0.540110000	 0.000000000  FX
1631	 2	 0.000001422	 0.293290000	 0.000000000  FX
1327	 1	 0.000001232	 0.495240000	 0.000000000  FX
1573	 2	 0.000001401	 0.288170000	 0.000000000  FX
1557	 5	 0.000000167	 0.007843173	 0.000038856  VM
1437	 2	 0.000001757	 0.373780000	 0.000000000  FX
1329	 1	 0.000001116	 0.439490000	 0.000000000  FX
1298	 5	 0.000000069	 0.003243431	 0.000016068  VM
1531	 2	 0.000001639	 0.345250000	 0.000000000  FX
811	 5	 0.000000079	 0.003737593	 0.000018517  VM
1	 2	 0.000002033	 0.439950000	 0.000000000  FX
9	 2	 0.000002050	 0.443940000	 0.000000000  FX
1528	 2	 0.000001781	 0.379520000	 0.000000000  FX
26	 5	 0.000000071	 0.003323665	 0.000016466  VM
1638	 1	 0.000001183	 0.471890000	 0.000000000  FX
1577	 1	 0.000001172	 0.466790000	 0.000000000  FX
733	 2	 0.000001489	 0.309270000	 0.000000000  FX
1393	 2	 0.000002550	 0.563990000	 0.000000000  FX
1376	 1	 0.000002397	 1.054510000	 0.000000000  FX
861	 1	 0.000001571	 0.658010000	 0.000000000  FX
1499	 1	 0.000001361	 0.557270000	 0.000000000  FX
1330	 5	 0.000000076	 0.003561424	 0.000017644  VM
1594	 1	 0.000001198	 0.479180000	 0.000000000  FX
1430	 1	 0.000001470	 0.609540000	 0.000000000  FX
1530	 5	 0.000000172	 0.008087672	 0.000040068  VM
12059	 5	 0.000004869	 0.229143457	 0.001135214  VM
12060	 2	 0.000043149	 10.307733886	 0.000000000  FX
12063	 5	 0.000004855	 0.228481365	 0.001131934  VM
12066	 5	 0.000004858	 0.228625918	 0.001132650  VM
12064	 5	 0.000004873	 0.229302674	 0.001136003  VM
12053	 5	 0.000004881	 0.229674502	 0.001137845  VM
12054	 2	 0.000044743	 10.690183886	 0.000000000  FX
12065	 2	 0.000041717	 9.964093886	 0.000000000  FX
12058	 2	 0.000043776	 10.458273886	 0.000000000  FX
12062	 2	 0.000041871	 10.001033886	 0.000000000  FX
