
Max Financial Cost: 0.016668

Max Runtime:        1042.400070

                          GRASP-VND            Flexe

Custo Financeiro Melhor:  0.002420           0.002376

Tempo Melhor:             490.048455           729.102549

Custo Normalizado Melhor: 0.161465           0.170416

Custo Normalizado Médio:  0.161466           0.176556

Tempo CPU Médio:          243.194792 	  

===============================================GRASP-VND===================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
23           1            0.000000970        0.187671500                0.000064272             VM
731           1            0.000000874        0.169187522                0.000057942             VM
35           1            0.000001092        0.211276764                0.000072356             VM
732           1            0.000000773        0.149535798                0.000051212             VM
733           1            0.000000791        0.153161547                0.000052453             VM
740          2           0.000001795          0.382680000                0.000120637             FX
24           1            0.000000974        0.188439024                0.000064535             VM
40           1            0.000000755        0.146165224                0.000050057             VM
29           1            0.000000787        0.152233296                0.000052135             VM
38           1            0.000000929        0.179750888                0.000061559             VM
2           1            0.000000820        0.158642960                0.000054330             VM
39           1            0.000000843        0.163083854                0.000055851             VM
25           1            0.000000784        0.151659194                0.000051939             VM
1           1            0.000001277        0.247150723                0.000084642             VM
36           1            0.000000874        0.169237450                0.000057959             VM
853           1            0.000001694        0.327873909                0.000112287             VM
734           1            0.000000852        0.164844208                0.000056454             VM
37           1            0.000000858        0.166041582                0.000056864             VM
854           1            0.000001747        0.338139296                0.000115803             VM
27           1            0.000000767        0.148405605                0.000050824             VM
802           1            0.000001756        0.339805288                0.000116373             VM
756           1            0.000001855        0.358960902                0.000122933             VM
852           1            0.000001652        0.319766681                0.000109510             VM
9           1            0.000000901        0.174316137                0.000059698             VM
28           1            0.000000882        0.170767054                0.000058483             VM
755          1           0.000001647          0.694540000                0.000127186             FX
804           1            0.000001688        0.326675361                0.000111876             VM
26           1            0.000000861        0.166701750                0.000057090             VM
806           1            0.000001739        0.336595031                0.000115274             VM
34           1            0.000000815        0.157794215                0.000054040             VM
751          2           0.000001980          0.427190000                0.000133343             FX
752           1            0.000002446        0.473330174                0.000162101             VM
760           1            0.000001766        0.341794658                0.000117054             VM
737          2           0.000001935          0.416280000                0.000130228             FX
753          1           0.000001548          0.647080000                0.000119274             FX
10           1            0.000000747        0.144657770                0.000049541             VM
754           1            0.000001852        0.358489858                0.000122772             VM
805           1            0.000001673        0.323702307                0.000110858             VM
736           1            0.000001862        0.360315280                0.000123397             VM
33           1            0.000000702        0.135818692                0.000046514             VM
758           1            0.000001660        0.321289378                0.000110032             VM
803           1            0.000001619        0.313402117                0.000107331             VM
738           1            0.000002228        0.431291472                0.000147704             VM
735           1            0.000000931        0.180215661                0.000061718             VM
739           1            0.000001891        0.365919972                0.000125317             VM
855           1            0.000001685        0.326187472                0.000111709             VM
30           1            0.000000722        0.139718435                0.000047849             VM
856           1            0.000001707        0.330309764                0.000113121             VM
759          2           0.000001854          0.397000000                0.000124725             FX
757          1           0.000001589          0.666500000                0.000122512             FX
2515           1            0.000094455        18.280366722                0.006260475             VM
2518           1            0.000094339        18.257887963                0.006252777             VM
2512           1            0.000094758        18.339060043                0.006280576             VM
2527           1            0.000094312        18.252733379                0.006251011             VM
2525           1            0.000094312        18.252850011                0.006251051             VM
2503          1           0.000070322          33.658659218                0.005622644             FX
2516           1            0.000094907        18.367960947                0.006290473             VM
2511           1            0.000095597        18.501520001                0.006336213             VM
2519           1            0.000094290        18.248594766                0.006249594             VM
2514           1            0.000095072        18.399755401                0.006301362             VM
2523           1            0.000094276        18.245813685                0.006248642             VM
2508           1            0.000095188        18.422206525                0.006309051             VM
2505           1            0.000096417        18.660156928                0.006390542             VM
2504           1            0.000096395        18.655903588                0.006389085             VM
2520           1            0.000094324        18.255152082                0.006251840             VM
2526           1            0.000094393        18.268397267                0.006256376             VM
2510           1            0.000094846        18.356135553                0.006286424             VM
2524           1            0.000094333        18.256817828                0.006252410             VM
2509           1            0.000095319        18.447611834                0.006317751             VM
2522           1            0.000094309        18.252210345                0.006250832             VM
2521           1            0.000094337        18.257633916                0.006252690             VM
2513           1            0.000094760        18.339449919                0.006280709             VM
2506           1            0.000095294        18.442902816                0.006316139             VM
2507           1            0.000095373        18.458118528                0.006321350             VM
2517           1            0.000094395        18.268789995                0.006256510             VM
