
Max Financial Cost: 0.001950

Max Runtime:        110.134593

                          GRASP-VND            Flexe

Custo Financeiro Melhor:  0.000282           0.000340

Tempo Melhor:             53.733177           57.940875

Custo Normalizado Melhor: 0.316187           0.350263

Custo Normalizado Médio:  0.316187           0.368822

Tempo CPU Médio:          7.162814 	  

===============================================GRASP-VND===================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
806           1            0.000000842        0.162863752                0.000955180             VM
1388           1            0.000000723        0.140020857                0.000821209             VM
1300           1            0.000000764        0.147905738                0.000867453             VM
1598           1            0.000001126        0.217881123                0.001277852             VM
1339           1            0.000000669        0.129527439                0.000759666             VM
1595           1            0.000001085        0.210066823                0.001232022             VM
1397          3           0.000002373          0.260790000                0.001792549             FX
1534           1            0.000001405        0.271916411                0.001594764             VM
856           1            0.000000795        0.153911115                0.000902674             VM
803           1            0.000001381        0.267201462                0.001567111             VM
1394          3           0.000002141          0.232970000                0.001606798             FX
1289           1            0.000000762        0.147510697                0.000865136             VM
1501           1            0.000001365        0.264106471                0.001548959             VM
1333           1            0.000000608        0.117757368                0.000690636             VM
1309           1            0.000001082        0.209340933                0.001227765             VM
853           1            0.000000907        0.175563824                0.001029665             VM
1510           1            0.000001395        0.269952793                0.001583248             VM
1540           1            0.000001352        0.261707218                0.001534888             VM
1589           1            0.000001141        0.220892929                0.001295516             VM
1490           1            0.000001376        0.266334569                0.001562027             VM
6836           1            0.000025332        4.902627910                0.028753448             VM
6841           1            0.000025308        4.897979982                0.028726189             VM
6842           1            0.000025211        4.879177310                0.028615913             VM
6843           1            0.000025206        4.878297225                0.028610751             VM
6844           1            0.000025190        4.875105541                0.028592032             VM
6840           1            0.000025369        4.909805063                0.028795542             VM
6838           1            0.000025273        4.891157599                0.028686176             VM
6839           1            0.000025271        4.890835194                0.028684285             VM
6835           1            0.000025769        4.987167242                0.029249264             VM
6837           1            0.000025249        4.886601941                0.028659458             VM
6845          3           0.000005252          0.606200000                0.004098807             FX


================================================Flexe======================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
1309          3           0.000002754          0.306510000                0.002097815             FX
1300           1            0.000000764        0.147905738                0.000867453             VM
1289          4           0.000004709          0.270560000                0.002435961             FX
1534          2           0.000001567          0.328080000                0.001891286             FX
1339           2            0.000002581        0.124889089                0.001228867             VM
1388           2            0.000002712        0.131202230                0.001290986             VM
806           2            0.000002880        0.139374301                0.001371397             VM
1397           1            0.000001629        0.315224347                0.001848761             VM
1540          3           0.000002956          0.330680000                0.002259195             FX
856           2            0.000002847        0.137739864                0.001355314             VM
1333           2            0.000002339        0.113172338                0.001113578             VM
1510          3           0.000002895          0.323340000                0.002210187             FX
1501           1            0.000001365        0.264106471                0.001548959             VM
1589          2           0.000001463          0.303150000                0.001751469             FX
1595           2            0.000004328        0.209412634                0.002060550             VM
1598           1            0.000001126        0.217881123                0.001277852             VM
803          4           0.000005376          0.310580000                0.002788691             FX
1394          4           0.000003599          0.203940000                0.001848783             FX
853           2            0.000003240        0.156766651                0.001542531             VM
1490          2           0.000001529          0.319020000                0.001840474             FX
6835           1            0.000025769        4.987167242                0.029249264             VM
6840           1            0.000025369        4.909805063                0.028795542             VM
6838           1            0.000025273        4.891157599                0.028686176             VM
6843           1            0.000025206        4.878297225                0.028610751             VM
6842           1            0.000025211        4.879177310                0.028615913             VM
6839           1            0.000025271        4.890835194                0.028684285             VM
6844           1            0.000025190        4.875105541                0.028592032             VM
6836           1            0.000025332        4.902627910                0.028753448             VM
6837          3           0.000050160          5.995244317                0.040080766             FX
6841          2           0.000030452          7.260564317                0.040771333             FX
6845           1            0.000004223        0.817358587                0.004793731             VM


============================================================================================================
