<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
020_T61_C5_D180_VM3.txt	 1	 0.009639963101237	 47.047623	 0.000902	 259.180141
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
26	 5	 0.000000079	 0.003694821	 0.000006856  VM
27	 5	 0.000000079	 0.003703629	 0.000006872  VM
40	 1	 0.000001777	 0.757000000	 0.000000000  FX
36	 5	 0.000000077	 0.003635189	 0.000006745  VM
28	 1	 0.000002352	 1.033040000	 0.000000000  FX
10	 5	 0.000000081	 0.003822336	 0.000007092  VM
33	 1	 0.000001697	 0.718540000	 0.000000000  FX
24	 2	 0.000001285	 0.260450000	 0.000000000  FX
34	 5	 0.000000076	 0.003591690	 0.000006664  VM
9	 5	 0.000000080	 0.003769592	 0.000006994  VM
29	 1	 0.000001851	 0.792630000	 0.000000000  FX
736	 1	 0.000002268	 0.992800000	 0.000000000  FX
2	 2	 0.000002107	 0.457780000	 0.000000000  FX
30	 5	 0.000000081	 0.003788520	 0.000007030  VM
740	 1	 0.000001769	 0.753080000	 0.000000000  FX
753	 2	 0.000001885	 0.404280000	 0.000000000  FX
35	 5	 0.000000076	 0.003582418	 0.000006647  VM
732	 2	 0.000001396	 0.286970000	 0.000000000  FX
25	 5	 0.000000085	 0.004013550	 0.000007447  VM
751	 2	 0.000002230	 0.487130000	 0.000000000  FX
733	 5	 0.000000258	 0.012145098	 0.000022535  VM
23	 1	 0.000002369	 1.040900000	 0.000000000  FX
760	 1	 0.000001350	 0.552090000	 0.000000000  FX
38	 1	 0.000001678	 0.709230000	 0.000000000  FX
39	 5	 0.000000075	 0.003507636	 0.000006508  VM
734	 1	 0.000001683	 0.712020000	 0.000000000  FX
756	 2	 0.000001785	 0.380300000	 0.000000000  FX
1	 1	 0.000002136	 0.929240000	 0.000000000  FX
752	 2	 0.000002656	 0.589450000	 0.000000000  FX
731	 1	 0.000001870	 0.801680000	 0.000000000  FX
738	 2	 0.000002275	 0.498060000	 0.000000000  FX
758	 1	 0.000001249	 0.503440000	 0.000000000  FX
737	 5	 0.000000295	 0.013879996	 0.000025754  VM
735	 5	 0.000000263	 0.012383656	 0.000022978  VM
754	 1	 0.000001523	 0.635150000	 0.000000000  FX
37	 5	 0.000000082	 0.003835571	 0.000007117  VM
759	 5	 0.000000205	 0.009629912	 0.000017868  VM
757	 5	 0.000000201	 0.009453608	 0.000017541  VM
755	 1	 0.000001374	 0.563320000	 0.000000000  FX
739	 2	 0.000001762	 0.374840000	 0.000000000  FX
771	 5	 0.000009847	 0.463384750	 0.000859812  VM
779	 5	 0.000009841	 0.463114314	 0.000859310  VM
763	 5	 0.000009855	 0.463782119	 0.000860549  VM
780	 5	 0.000009845	 0.463297191	 0.000859650  VM
775	 2	 0.000095414	 22.851362841	 0.000000000  FX
767	 5	 0.000009846	 0.463347730	 0.000859743  VM
762	 5	 0.000009853	 0.463686937	 0.000860373  VM
773	 1	 0.000062063	 29.694022841	 0.000000000  FX
774	 2	 0.000099843	 23.914342841	 0.000000000  FX
772	 5	 0.000009844	 0.463261697	 0.000859584  VM
776	 1	 0.000061959	 29.644382841	 0.000000000  FX
765	 5	 0.000009847	 0.463393511	 0.000859828  VM
768	 1	 0.000064869	 31.041232841	 0.000000000  FX
766	 2	 0.000102197	 24.479212841	 0.000000000  FX
764	 5	 0.000009844	 0.463260647	 0.000859582  VM
761	 1	 0.000055634	 26.608432841	 0.000000000  FX
769	 2	 0.000104689	 25.077212841	 0.000000000  FX
778	 2	 0.000094954	 22.740882841	 0.000000000  FX
770	 5	 0.000009842	 0.463150502	 0.000859377  VM
777	 5	 0.000009843	 0.463218477	 0.000859504  VM
781	 1	 0.000005826	 2.700300000	 0.000000000  FX
========================================================================
020_T61_C5_D180_VM3.txt	 2	 0.007939386426234	 46.162183	 0.001083	 306.460872
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
35	 1	 0.000001687	 0.713520000	 0.000000000  FX
