
Max Financial Cost: 0.007250

Max Runtime:        405.727087

                          GRASP-VND            Flexe

Custo Financeiro Melhor:  0.001046           0.001395

Tempo Melhor:             201.750674           233.092983

Custo Normalizado Melhor: 0.320799           0.383432

Custo Normalizado Médio:  0.320807           0.388569

Tempo CPU Médio:          25.981912 	  

===============================================GRASP-VND===================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
1361           1            0.000000644        0.124640199                0.000198016             VM
9           1            0.000000748        0.144737037                0.000229943             VM
1371           1            0.000000708        0.136957484                0.000217584             VM
1415          3           0.000001814          0.193680000                0.000363785             FX
1327           1            0.000000603        0.116658784                0.000185335             VM
1331           1            0.000000747        0.144587698                0.000229706             VM
1366           1            0.000001003        0.194103816                0.000308372             VM
1302           1            0.000000998        0.193180246                0.000306905             VM
1585           1            0.000001375        0.266121306                0.000422786             VM
1573           1            0.000000980        0.189605003                0.000301225             VM
1306           1            0.000000608        0.117587942                0.000186812             VM
1384           1            0.000000711        0.137539292                0.000218508             VM
1332           1            0.000000845        0.163583573                0.000259885             VM
731           1            0.000000883        0.170835667                0.000271406             VM
1323           1            0.000000788        0.152588174                0.000242416             VM
1372           1            0.000000608        0.117711766                0.000187008             VM
1533           1            0.000001305        0.252524861                0.000401186             VM
1616           1            0.000001077        0.208488195                0.000331225             VM
1345           1            0.000000694        0.134392264                0.000213509             VM
861           1            0.000000799        0.154539059                0.000245516             VM
1567           1            0.000001342        0.259755731                0.000412673             VM
1592           1            0.000001061        0.205432317                0.000326370             VM
1637           1            0.000001058        0.204852656                0.000325449             VM
1528           1            0.000001267        0.245135225                0.000389446             VM
1572           1            0.000001264        0.244622912                0.000388632             VM
1524           1            0.000001266        0.245077380                0.000389354             VM
1317           1            0.000000703        0.136024464                0.000216102             VM
1436           1            0.000001501        0.290583740                0.000461650             VM
1299           1            0.000000884        0.171181671                0.000271956             VM
811           1            0.000000778        0.150516790                0.000239126             VM
1562           1            0.000001270        0.245746002                0.000390416             VM
1546           1            0.000001295        0.250607241                0.000398139             VM
751           1            0.000000646        0.124978660                0.000198553             VM
1500           1            0.000001252        0.242385538                0.000385077             VM
1518           1            0.000001244        0.240675646                0.000382361             VM
1532           1            0.000001287        0.249066477                0.000395691             VM
1503           1            0.000001311        0.253640980                0.000402959             VM
1           1            0.000001296        0.250885054                0.000398580             VM
1391           1            0.000001610        0.311497699                0.000494876             VM
1507           1            0.000001294        0.250479354                0.000397936             VM
7248           1            0.000049849        9.647524215                0.015326996             VM
7254           1            0.000049842        9.646250115                0.015324972             VM
7258           1            0.000049684        9.615629749                0.015276325             VM
7244           1            0.000049852        9.648083176                0.015327884             VM
7251           1            0.000049848        9.647367321                0.015326747             VM
7247           1            0.000049845        9.646776454                0.015325808             VM
7243           1            0.000049821        9.642096872                0.015318373             VM
7245           1            0.000049825        9.643015140                0.015319832             VM
7246           1            0.000049830        9.643882421                0.015321210             VM
7259           1            0.000049699        9.618463522                0.015280827             VM
7257           1            0.000049689        9.616636272                0.015277924             VM
7241           1            0.000050141        9.704129153                0.015416924             VM
7253           1            0.000049837        9.645298286                0.015323460             VM
7252           1            0.000049845        9.646704797                0.015325694             VM
7242           1            0.000050016        9.679952083                0.015378514             VM
7256           1            0.000049684        9.615711668                0.015276455             VM
7240           1            0.000050084        9.692997496                0.015399239             VM
7249           1            0.000049829        9.643759689                0.015321015             VM
7250           1            0.000049843        9.646418952                0.015325240             VM
7255           1            0.000049691        9.617068725                0.015278611             VM
7260          3           0.000008164          0.955700000                0.001740804             FX


================================================Flexe======================================================

<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
861           1            0.000000799        0.154539059                0.000245516             VM
1327           2            0.000002263        0.109492440                0.000290993             VM
9          3           0.000003249          0.365870000                0.000674944             FX
1299          3           0.000002365          0.259790000                0.000483250             FX
751           2            0.000002424        0.117296580                0.000311734             VM
1345           2            0.000002512        0.121523342                0.000322967             VM
1366           1            0.000001003        0.194103816                0.000308372             VM
1507           1            0.000001294        0.250479354                0.000397936             VM
1415           1            0.000001724        0.333676268                0.000530111             VM
1371          4           0.000004367          0.250000000                0.000609236             FX
1306           2            0.000002299        0.111242173                0.000295643             VM
1331          2           0.000001840          0.393500000                0.000611799             FX
731          3           0.000002831          0.315670000                0.000584229             FX
1317           2            0.000002619        0.126718041                0.000336773             VM
1361           2            0.000002409        0.116556280                0.000309766             VM
811           2            0.000002704        0.130832464                0.000347707             VM
1518          2           0.000001555          0.325120000                0.000507881             FX
1503          2           0.000001599          0.335640000                0.000523868             FX
1500           2            0.000004993        0.241570926                0.000642012             VM
1528           2            0.000005050        0.244358856                0.000649421             VM
1585           1            0.000001375        0.266121306                0.000422786             VM
1323           2            0.000002697        0.130516749                0.000346868             VM
1372          2           0.000001603          0.336630000                0.000525373             FX
1573          3           0.000002395          0.263380000                0.000489738             FX
1616          1           0.000001150          0.456200000                0.000641539             FX
1592          4           0.000004495          0.257710000                0.000627600             FX
1384           2            0.000002503        0.121115359                0.000321883             VM
1532           1            0.000001287        0.249066477                0.000395691             VM
1637          4           0.000004615          0.264870000                0.000644653             FX
1572          1           0.000001172          0.466740000                0.000656043             FX
1562          1           0.000001203          0.481310000                0.000676091             FX
1           2            0.000005120        0.247757980                0.000658455             VM
1533          3           0.000002977          0.333240000                0.000615979             FX
1546          3           0.000002894          0.323320000                0.000598053             FX
1302           1            0.000000998        0.193180246                0.000306905             VM
1524          3           0.000002966          0.331930000                0.000613612             FX
1436           1            0.000001501        0.290583740                0.000461650             VM
1391           1            0.000001610        0.311497699                0.000494876             VM
1332          3           0.000003284          0.370030000                0.000682461             FX
1567          3           0.000002905          0.324550000                0.000600276             FX
7259          1           0.000037657          17.979537371                0.024754225             FX
7257          4           0.000173879          10.420737371                0.024833628             FX
7242           1            0.000050016        9.679952083                0.015378514             VM
7243           1            0.000049821        9.642096872                0.015318373             VM
7250          3           0.000098174          11.756837371                0.021259156             FX
7244          3           0.000097801          11.712037371                0.021178199             FX
7246           1            0.000049830        9.643882421                0.015321210             VM
7254           1            0.000049842        9.646250115                0.015324972             VM
7240          2           0.000057256          13.693497371                0.020823937             FX
7253           1            0.000049837        9.645298286                0.015323460             VM
7245           1            0.000049825        9.643015140                0.015319832             VM
7256           1            0.000049684        9.615711668                0.015276455             VM
7255          3           0.000097314          11.653597371                0.021072595             FX
7251           1            0.000049848        9.647367321                0.015326747             VM
7252           1            0.000049845        9.646704797                0.015325694             VM
7247           1            0.000049845        9.646776454                0.015325808             VM
7258           1            0.000049684        9.615629749                0.015276325             VM
7249           1            0.000049829        9.643759689                0.015321015             VM
7248          2           0.000058114          13.899407371                0.021136861             FX
7241          2           0.000061842          14.794137371                0.022496591             FX
7260          4           0.000016017          0.949020000                0.002274144             FX


============================================================================================================
